lang	topsim		incons		wordtype
74	-0.273226	0.051546	11
75	-0.210370	0.020040	28
76	-0.402420	0.000000	4
77	-0.056504	0.027778	11
78	-0.296465	0.002563	8
79	-0.364070	0.000423	8
80	-0.283671	0.020979	10
81	-0.283401	0.011577	16
82	-0.182313	0.050580	14
83	-0.281379	0.198795	25
84	-0.373604	0.010802	10
85	-0.217476	0.061927	11
86	-0.271181	0.091892	11
87	-0.003676	0.048565	17
88	-0.295930	0.008889	11
89	-0.397559	0.028736	7
90	-0.287858	0.007974	14
91	-0.340863	0.031250	11
92	-0.328606	0.029605	9
93	-0.301152	0.000000	10
94	-0.166088	0.064425	13
95	-0.306300	0.228111	7
96	-0.311833	0.183544	13
97	-0.313007	0.025822	12
98	-0.142496	0.014286	8
99	-0.360216	0.006944	6
100	-0.223869	0.034091	9
101	-0.107871	0.413926	13
102	-0.286099	0.314308	26
103	-0.477585	0.000000	5
104	-0.550724	0.000000	3
105	-0.300264	0.006811	12
106	-0.185114	0.008964	9
107	-0.297505	0.000000	7
108	-0.331489	0.071066	13
109	-0.364254	0.004684	12
lang	topsim		incons		wordtype
0	-0.190179	0.107143	9
1	-0.220853	0.064489	20
2	-0.221751	0.013624	9
3	-0.201198	0.032903	19
4	-0.236006	0.054377	9
5	-0.164766	0.114448	25
6	-0.163210	0.135593	19
7	-0.199283	0.046243	10
8	-0.200972	0.209600	8
9	-0.122920	0.105876	15
10	-0.296093	0.052083	10
11	-0.351408	0.000000	6
12	-0.154099	0.134921	19
13	-0.319985	0.036697	17
14	-0.236907	0.109948	12
15	-0.382386	0.025000	7
16	-0.036489	0.121325	17
17	-0.101919	0.114297	13
18	-0.201287	0.017630	20
19	-0.345179	0.002121	8
20	-0.383399	0.037500	9
21	-0.376182	0.013904	8
22	-0.318052	0.030154	5
23	-0.265589	0.078740	16
24	-0.399370	0.000000	7
25	-0.071458	0.005081	12
26	-0.138544	0.215569	34
27	-0.239612	0.009784	18
28	-0.382258	0.025157	7
29	-0.231511	0.000000	6
30	-0.135675	0.001369	6
31	-0.182228	0.286772	12
32	-0.370518	0.005714	7
33	-0.236062	0.151111	17
34	-0.284187	0.125000	11
35	-0.359517	0.000000	5
36	-0.320674	0.000000	9
37	-0.224832	0.049914	14
38	-0.226754	0.056838	16
39	-0.252862	0.001696	8
40	-0.425218	0.034270	10
41	-0.207399	0.036832	22
42	-0.149784	0.144934	22
43	-0.189944	0.081818	12
44	-0.234311	0.036649	11
45	-0.177698	0.028407	15
46	-0.221410	0.061416	8
47	-0.093946	0.009461	14
48	-0.394372	0.021226	10
49	-0.385725	0.001250	7
50	-0.277911	0.228525	18
51	-0.143381	0.281513	21
52	-0.479838	0.000000	4
53	-0.134904	0.055344	18
54	-0.284588	0.059761	11
55	-0.352559	0.028047	13
56	-0.249075	0.152256	11
57	-0.288475	0.074074	11
58	-0.129119	0.013453	16
59	-0.163498	0.063492	18
60	-0.228888	0.082534	13
61	-0.221321	0.053571	17
62	-0.271473	0.334684	21
63	-0.255063	0.191599	21
64	-0.234309	0.032609	9
65	-0.328954	0.245709	9
66	-0.206811	0.258333	30
67	-0.137173	0.082251	13
68	-0.157641	0.017352	15
69	-0.373264	0.004140	8
70	0.018408	0.033516	12
71	-0.357187	0.115742	14
72	-0.278280	0.052083	13
73	-0.494204	0.000000	4
74	-0.278751	0.051546	13
75	-0.214599	0.020040	31
76	-0.402420	0.000000	4
77	-0.057407	0.027778	11
78	-0.292997	0.002563	8
79	-0.362472	0.000423	8
80	-0.283671	0.020979	10
81	-0.260600	0.011577	16
82	-0.219641	0.050580	13
83	-0.293465	0.198795	27
84	-0.377197	0.010802	10
85	-0.212072	0.061927	11
86	-0.269920	0.091892	11
87	-0.016322	0.048565	17
88	-0.293548	0.008889	11
89	-0.397559	0.028736	7
90	-0.287858	0.007974	14
91	-0.337718	0.031250	11
92	-0.331050	0.029605	9
93	-0.301152	0.000000	10
94	-0.157034	0.064425	14
95	-0.306300	0.228111	7
96	-0.322483	0.183544	12
97	-0.323983	0.025822	12
98	-0.146847	0.014286	8
99	-0.360216	0.006944	6
100	-0.226210	0.034091	9
101	-0.196426	0.413926	13
102	-0.271968	0.314308	32
103	-0.477585	0.000000	5
104	-0.550724	0.000000	3
105	-0.300169	0.006811	12
106	-0.183645	0.008964	9
107	-0.297505	0.000000	7
108	-0.329646	0.071066	13
109	-0.364358	0.004684	12
lang	topsim		incons		wordtype
0	-0.187509	0.107143	9
1	-0.269442	0.064489	24
2	-0.224078	0.013624	9
3	-0.202665	0.032903	18
4	-0.236006	0.054377	9
5	-0.153554	0.114448	24
6	-0.163969	0.135593	19
7	-0.199748	0.046243	10
8	-0.201705	0.209600	8
9	-0.129923	0.105876	16
10	-0.294183	0.052083	10
11	-0.351408	0.000000	6
12	-0.169117	0.134921	16
13	-0.319985	0.036697	17
14	-0.267320	0.109948	12
15	-0.382386	0.025000	7
16	-0.048029	0.121325	17
17	-0.119078	0.114297	12
18	-0.201188	0.017630	19
19	-0.345754	0.002121	8
20	-0.383399	0.037500	9
21	-0.385765	0.013904	8
22	-0.317202	0.030154	5
23	-0.250478	0.078740	16
24	-0.399370	0.000000	7
25	-0.063589	0.005081	12
26	-0.132964	0.215569	31
27	-0.233970	0.009784	19
28	-0.381684	0.025157	7
29	-0.231511	0.000000	6
30	-0.135675	0.001369	6
